5/10/06,Buf,CSF,"Buf 3, Ott 2",J.P. Dumont,5:05,Buf
5/9/06,Col,CSF,"Ana 4, Col 3",Joffrey Lupul,16:30,Ana
5/8/06,Car,CSF,"Car 3, NJ 2",Niclas Wallin,3:09,Car
5/5/06,Ott,CSF,"Buf 7, Ott 6",Chris Drury,0:18,Buf
5/2/06,Mon,CQF,"Car 2, Mon 1",Cory Stillman,1:19,Car
4/30/06,Ana,CQF,"Col 3, Dal 2",Andrew Brunette,13:55,Col
4/27/06,Ana,CQF,"Ana 3, Cgy 2",Sean O'Donnell,1:36,Ana
4/26/06,Col,CQF,"Col 4, Dal 3",Alex Tanguay,1:09,Col
4/26/06,Mon,CQF,"Car 2, Mon 1",Eric Staal,3:38,Car
4/25/06,Edm,CQF,"Edm 4, Det 3",Jarret Stoll,28:44:00,Edm
4/24/06,Dal,CQF,"Col 5, Dal 4",Joe Sakic,4:36,Col
4/24/06,Car,CQF,"Mon 6, Car 5",Michael Ryder,22:32,Car
4/22/06,Buf,CQF,"Buf 3, Phi 2",Daniel Briere,27:31:00,Buf
4/21/06,Cgy,CQF,"Cgy 2, Ana 1",Darren McCarty,9:45,Ana
4/21/06,Det,CQF,"Det 3, Edm 2",Kirk Maltby,22:39,Edm
6/5/04,Cal,F,"Tam 3, Cal 2",Martin St. Louis,20:33,Tam
6/3/04,Tam,F,"Cal 3, Tam 2",Oleg Saprykin,14:40,Tam
5/20/04,Phi,CF,"Phi 5, Tam 4",Simon Gagne,18:18,Tam
5/9/04,San,CF,"Cal 4, San 3",Steve Montador,18:43,Cal
5/4/04,Tor,CSF,"Phi 3, Tor 2",Jeremy Roenick,7:39,Phi
5/3/04,Cal,CSF,"Cal 1, Det 0",Martin Gelinas,19:13,Cal
5/1/04,San,CSF,"Col 2, San 1",Joe Sakic,1:54,San
4/28/04,Col,CSF,"Col 1, San 0",Joe Sakic,5:15,San
4/27/04,Mon,CSF,"Tam 4, Mon 3",Brad Richards,1:05,Tam
4/22/04,Det,CSF,"Cal 2, Det 1",Marcus Nilson,2:39,Cal
4/19/04,Van,CQF,"Cal 3, Van 2",Martin Gelinas,1:25,Cal
4/18/04,Ott,CQF,"Tor 1, Ott 2",Mike Fisher,21:47,Tor
4/17/04,Cal,CQF,"Van 5, Cal 4",Brendan Morrison,42:28:00,Cal
4/16/04,Tam,CQF,"Tam 3, NYI 2",Martin St. Louis,4:07,Tam
4/14/04,Dal,CQF,"Col 3, Dal 2",Marek Svatos,25:18:00,Col
4/13/04,Mon,CQF,"Bos 4, Mon 3",Glen Murray,29:27:00,Mon
4/12/04,Dal,CQF,"Dal 4, Col 3",Steve Ott,2:11,Col
4/9/04,Bos,CQF,"Bos 2, Mon 1",Patrice Bergeron,1:26,Mon
4/8/04,San,CQF,"San 1, Stl 0",Niko Dimitrakos,9:16,SJ
6/1/03,Ana,F,"Ana 1, NJ 0",Steve Thomas,0:39,NJ
5/31/03,Ana,F,"Ana 3, NJ 2",Ruslan Salei,6:59,NJ
5/21/03,NJ,CF,"Ott 2, NJ 1",Chris Phillips,15:51,NJ
5/10/03,Ott,CF,"Ott 3, NJ 2",Shaun Van Allen,3:08,NJ
5/10/03,Min,CF,"Ana 1, Min 0",Petr Sykora,28:06:00,Ana
5/2/03,Min,CSF,"Van 3, Min 2",Brent Sopel,15:52,Min
5/2/03,NJ,CSF,"NJ 2, Tam 1",Grant Marshall,51:12:00,NJ
4/29/03,Phi,CSF,"Ott 3, Phi 2",Wade Redden,6:43,Ott
4/26/03,Dal,CSF,"Ana 3, Dal 2",Mike Leclerc,1:44,Ana
4/26/03,NJ,CSF,"NJ 3, Tam 2",Jamie Langenbrunner,2:09,NJ
4/25/03,Van,CSF,"Van 4, Min 3",Trent Klatt,3:42,Min
4/24/03,Dal,CSF,"Ana 4, Dal 3",Petr Sykora,80:48:00,Ana
4/22/03,Col,CQF,"Min 3, Col 2",Andrew Brunette,3:25,Min
4/21/03,Tor,CQF,"Tor 2, Phi 1",Travis Green,30:51:00,Phi
4/21/03,Min,CQF,"Min 3, Col 2",Richard Park,4:22,Min
4/20/03,Was,CQF,"Tam 2, Was 1",Martin St. Louis,44:03:00,Tam
4/16/03,Ana,CQF,"Ana 3, Det 2",Steve Rucchin,6:53,Ana
4/16/03,Tor,CQF,"Phi 3, Tor 2",Mark Recchi,53:54:00,Phi
4/15/03,Was,CQF,"Tam 4, Was 3",Vincent Lecavalier,2:29,Tam
4/14/03,Tor,CQF,"Tor 4, Phi 3",Tomas Kaberle,27:20:00,Phi
4/14/03,NY,CQF,"Ott 3, NYI 2",Todd White,22:25,Ott
4/10/03,Det,CQF,"Ana 2, Det 1",Paul Kariya,43:18:00,Ana
6/8/02,Car,F,"Det 3, Car 2",Igor Larionov,54:47:00,Det
6/4/02,Car,F,"Car 3, Det 2",Ron Francis,0:59,Det
5/28/02,Car,CF,"Car 2, Tor 1",Martin Gelinas,8:05,Car
5/27/02,Col,CF,"Col 2, Det 1",Peter Forsberg,6:24,Det
5/22/02,Det,CF,"Det 2, Col 1",Fredrik Olausson,12:44,Det
5/21/02,Car,CF,"Car 2, Tor 1",Jeff O'Neill,6:01,Car
5/20/02,Det,CF,"Col 4, Det 3",Chris Drury,2:17,Det
5/19/02,Car,CF,"Car 2, Tor 1",Niclas Wallin,13:42,Car
5/13/02,SJ,CSF,"Col 2, SJ 1",Peter Forsberg,2:47,Col
5/9/02,Car,CSF,"Car 4, Mon 3",Niclas Wallin,3:14,Car
5/7/02,Mon,CSF,"Mon 2, Car 1",Donald Audette,2:26,Car
5/4/02,Tor,CSF,"Tor 3, Ott 2",Gary Roberts,44:30:00,Tor
4/26/02,Ott,CQF,"Ott 2, Phi 1",Martin Havlat,7:33,Ott
